log_file,task,phase,samples,duration_s,tip_target_error_mm_max,tip_target_error_mm_mean,tip_target_error_mm_final,entry_rcm_error_mm_max,entry_rcm_error_mm_mean,entry_rcm_error_mm_final,target_rcm_error_mm_max,target_rcm_error_mm_mean,target_rcm_error_mm_final,task2_entry_cone_error_mm_max,task2_entry_cone_error_mm_mean,task2_entry_cone_error_mm_final,task4_tip_cone_error_mm_max,task4_tip_cone_error_mm_mean,task4_tip_cone_error_mm_final,active_task_error_mm_max,active_task_error_mm_mean,active_task_error_mm_final,skull_violation_mm_max,skull_violation_mm_mean,skull_violation_mm_final,qdot_norm_rad_s_max,qdot_norm_rad_s_mean,qdot_norm_rad_s_final,lambda_max,lambda_mean,lambda_final,fps_max,fps_mean,fps_final
project4_multircm_20260716_122044_088.csv,T3_safe_insertion,ApproachEntry,20,1.0514,197.602,160.26655,197.602,178.501,100.1748,89.155,198.672,160.78095,198.672,181.625,127.047,181.625,198.021,159.46240000000003,198.021,197.602,160.26655,197.602,0.0,0.0,0.0,0.6644,0.4316455,0.13906,0.995,0.9950000000000001,0.995,169.63,103.30050000000001,111.25
project4_multircm_20260716_122044_088.csv,T3_safe_insertion,Done,56,3.3432999999999993,5.788,1.6719107142857141,0.866,0.232,0.14439285714285716,0.106,111.722,111.719375,111.722,10.115,8.807749999999999,8.709,15.101,13.510232142857143,13.099,5.788,1.6719107142857141,0.866,0.0,0.0,0.0,0.07027,0.02239642857142857,0.00903,0.62474,0.6085733928571428,0.6055,57.51,48.81910714285714,33.97
project4_multircm_20260716_122044_088.csv,T3_safe_insertion,InsertToTarget,171,9.9552,115.608,62.06228070175438,6.415,5.271,0.3263625730994152,0.232,116.983,111.85915204678363,111.707,117.021,63.396157894736845,10.476,116.375,64.09874853801169,15.357,115.608,62.06228070175438,6.415,0.0,0.0,0.0,0.20873,0.07087257309941522,0.0698,0.995,0.8236147953216373,0.62704,113.99,58.450877192982446,46.48
project4_multircm_20260716_122044_088.csv,T3_safe_insertion,PierceEntry,113,6.207,207.573,168.93174336283184,116.339,97.68,59.0192389380531,5.999,208.702,170.15576991150445,117.713,194.851,162.3157610619469,117.731,208.067,169.31218584070794,117.103,207.573,168.93174336283184,116.339,0.0,0.0,0.0,0.52345,0.1867753982300885,0.22326,0.995,0.9949999999999998,0.995,160.12,98.42389380530973,17.14
project4_multircm_20260716_122044_088.csv,T1_entry_rcm_tip_target,Done,230,12.976299999999998,0.827,0.42211304347826084,0.224,0.163,0.09149565217391306,0.049,111.723,111.72255652173912,111.723,8.952,8.86944347826087,8.799,14.61,14.095295652173913,13.8,0.827,0.42211304347826084,0.224,0.0,0.0,0.0,0.00922,0.004505608695652173,0.0018,0.60545,0.6052199130434784,0.60523,112.92,66.76595652173913,89.65
project4_multircm_20260716_122044_088.csv,T2_target_rcm_entry_cone,Done,1105,61.4884,0.205,0.005990045248868779,0.002,110.316,110.31021538461539,110.31,1.433,1.4157610859728504,1.417,13.625,5.070914027149322,0.917,14.002,13.80147601809955,13.8,13.625,5.070914027149322,0.917,0.0,0.0,0.0,0.18347,0.04338880542986426,0.01303,0.995,0.9949999999999999,0.995,169.41,75.5078552036199,79.25
project4_multircm_20260716_122044_088.csv,T4_entry_rcm_tip_cone,Done,1057,58.04110000000003,15.041,12.966340586565751,13.462,5.143,0.35579943235572375,0.543,112.035,111.72500378429517,111.716,12.169,8.682014191106905,8.287,13.448,3.1993661305581838,5.077,13.448,3.1993661305581838,5.077,0.0,0.0,0.0,1.51019,0.07072011352885525,0.15098,0.60793,0.6026986187322612,0.60467,139.53,72.8633774834437,27.84
project4_multircm_20260716_122333_600.csv,T3_safe_insertion,ApproachEntry,20,1.0503,198.176,160.26719999999997,198.176,175.274,99.15200000000002,89.639,199.248,160.7947,199.248,182.322,127.20375000000001,182.322,198.6,159.48495000000003,198.6,198.176,160.26719999999997,198.176,0.0,0.0,0.0,0.66047,0.4291064999999999,0.13659,0.995,0.9950000000000001,0.995,144.19,100.7825,98.2
project4_multircm_20260716_122333_600.csv,T3_safe_insertion,Done,50,3.014900000000001,5.871,1.7932600000000003,0.914,0.232,0.1506,0.112,111.722,111.71883999999999,111.722,10.158,8.81766,8.704,15.091,13.533220000000002,13.09,5.871,1.7932600000000003,0.914,0.0,0.0,0.0,0.07008,0.0248442,0.00981,0.62504,0.6089266,0.60532,61.76,35.4102,30.8
project4_multircm_20260716_122333_600.csv,T3_safe_insertion,InsertToTarget,169,10.151800000000001,115.2,61.872816568047334,6.432,4.856,0.3113786982248521,0.232,116.577,111.84323076923077,111.707,116.685,63.22610059171597,10.482,115.989,63.952319526627214,15.322,115.2,61.872816568047334,6.432,0.0,0.0,0.0,0.1902,0.0708350295857988,0.06985,0.995,0.8229921893491124,0.6271,91.5,49.45727810650888,40.86
project4_multircm_20260716_122333_600.csv,T3_safe_insertion,PierceEntry,113,6.197699999999999,207.621,168.03642477876107,115.919,97.735,58.1191238938053,5.584,208.749,169.2629292035398,117.294,194.9,161.58114159292037,117.307,208.113,168.4144424778761,116.68,207.621,168.03642477876107,115.919,0.0,0.0,0.0,0.54537,0.18966654867256635,0.22057,0.995,0.9949999999999998,0.995,138.18,101.18274336283186,76.67
project4_multircm_20260716_122333_600.csv,T1_entry_rcm_tip_target,Done,126,7.651700000000002,0.886,0.5582698412698414,0.365,0.171,0.12032539682539684,0.08,111.723,111.72221428571426,111.723,8.96,8.908841269841268,8.858,14.676,14.280420634920636,14.002,0.886,0.5582698412698414,0.365,0.0,0.0,0.0,0.00984,0.006358650793650794,0.00373,0.6053,0.6052100793650792,0.60521,65.69,44.18436507936509,59.13
project4_multircm_20260716_122333_600.csv,T2_target_rcm_entry_cone,Done,1376,80.2009,0.315,0.005699127906976745,0.007,110.316,110.3111773255814,110.313,1.448,1.4149920058139536,1.412,13.767,5.961867005813954,12.162,14.106,13.801260901162793,13.794,13.767,5.961867005813954,12.162,0.0,0.0,0.0,0.18089,0.03996416424418605,0.12031,0.995,0.9949999999999999,0.995,157.15,76.46487645348839,84.97
project4_multircm_20260716_122333_600.csv,T4_entry_rcm_tip_cone,Done,1021,58.9066,15.042,12.990448579823703,13.368,2.403,0.34963467189030367,0.456,111.942,111.7247610186092,111.721,9.08,8.67505876591577,8.399,11.606,3.1774417238001957,4.659,11.606,3.1774417238001957,4.659,0.0,0.0,0.0,0.27198,0.06884739471106759,0.14336,0.60588,0.6026944955925564,0.60422,147.18,80.41268364348679,3.84
