time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
1.25010,0.01051,95.10857,InsertToTarget,Double,20.58442,0.07047,0.00000,140.66090,140.66090,0.12765,0.07491,0.00000,0.00000,0.00000,0.00000,0.94854,1.00000,6,6,1,0.63173,1.02941,0.05999,0.83021,0.68213,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.31983,17.87455,-13.93415,-45.18559,-51.03233,56.15988
1.28113,0.00951,105.12080,InsertToTarget,Double,21.28510,0.07398,0.00000,139.96020,139.96020,0.13199,0.07876,0.00000,0.00000,0.00000,0.00000,0.94679,1.00000,6,6,1,0.63207,1.02880,0.05999,0.83056,0.68152,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.30929,17.77094,-13.82602,-45.23530,-50.99184,56.19482
1.31443,0.01044,95.78198,InsertToTarget,Double,22.03676,0.07828,0.00000,139.20860,139.20860,0.13665,0.08355,0.00000,0.00000,0.00000,0.00000,0.94491,1.00000,6,6,1,0.63244,1.02814,0.05999,0.83093,0.68087,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.29805,17.66066,-13.71162,-45.28725,-50.94804,56.23059
1.35409,0.01005,99.53618,InsertToTarget,Double,22.93200,0.07537,0.00000,138.31330,138.31330,0.14221,0.08064,0.00000,0.00000,0.00000,0.00000,0.94268,1.00000,6,6,1,0.63289,1.02737,0.05999,0.83137,0.68009,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.28450,17.52628,-13.57029,-45.35554,-50.89420,56.28053
1.38626,0.01161,86.15632,InsertToTarget,Double,23.65822,0.07773,0.00000,137.58710,137.58710,0.14671,0.08337,0.00000,0.00000,0.00000,0.00000,0.94086,1.00000,6,6,1,0.63325,1.02674,0.05998,0.83173,0.67946,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.27364,17.41893,-13.45857,-45.40796,-50.85033,56.31721
1.42701,0.01099,90.95262,InsertToTarget,Double,24.57821,0.07937,0.00000,136.66710,136.66710,0.15241,0.08533,0.00000,0.00000,0.00000,0.00000,0.93856,1.00000,6,6,1,0.63370,1.02594,0.05998,0.83219,0.67866,0.06009,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.25978,17.28094,-13.31373,-45.47865,-50.79311,56.36797
1.46124,0.01284,77.85506,InsertToTarget,Double,25.35098,0.08431,0.01978,135.89440,135.89440,0.15721,0.09088,0.01978,0.00000,0.00000,0.00000,0.93663,1.00000,6,6,1,0.63408,1.02526,0.05998,0.83257,0.67799,0.06009,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.24826,17.16657,-13.19479,-45.53541,-50.74480,56.40724
1.50235,0.01134,88.15868,InsertToTarget,Double,26.27921,0.08386,0.01978,134.96620,134.96620,0.16296,0.09061,0.01978,0.00000,0.00000,0.00000,0.93431,1.00000,6,6,1,0.63454,1.02446,0.05998,0.83303,0.67718,0.06009,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.23424,17.02566,-13.04603,-45.61111,-50.68436,56.46260
1.53460,0.01019,98.09393,InsertToTarget,Double,27.00706,0.08654,0.01978,134.23830,134.23830,0.16748,0.09367,0.01978,0.00000,0.00000,0.00000,0.93249,1.00000,6,6,1,0.63491,1.02383,0.05998,0.83339,0.67655,0.06009,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.22326,16.91525,-12.92964,-45.67063,-50.63614,56.50557
1.56511,0.00977,102.39420,InsertToTarget,Double,27.69606,0.08520,0.00000,133.54930,133.54930,0.17175,0.09242,0.00000,0.00000,0.00000,0.00000,0.93077,1.00000,6,6,1,0.63525,1.02323,0.05998,0.83374,0.67595,0.06009,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.21288,16.81035,-12.81890,-45.72826,-50.58962,56.54783
