time,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,entry_error_mm,target_error_mm,needle_skull_violation_mm,lambda,stage,valid_post_insertion_context,raw_needle_skull_penetration_mm,intentional_needle_inside_skull,unsafe_needle_skull_violation_mm,source_file,fps_est,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.31769,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,45.35147392290258,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,6.4660364967044246e-12,23224.468330355117,940124.4372714962,4.0194366942304644e-14,822.0337995337995
0.34448,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,37.32736095558039,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,1378.1153043487298,44793.270105688425,200122.70977411885,48.778613301936254,1726.9729737811615
0.39286,ApproachEntry,Double,495.1351,202.281,51.62917,474.6489,474.6489,0.0,495.1351,51.62917,44.62917,0.0,0.0,0.0,1.0,6,6,1,0.83398,0.83016,0.21421,1.17367,0.73828,0.4044,0.82,0.7,0.06,0.9,0.56,0.06,-6.24195,-24.72,32.72,-6.59417,-20.72,6.72,202.281,474.6489,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,20.669698222405962,Task3_Insertion,0.0,51.62817585884961,126.41601108241186,140.42919790605282,73.30595487142224,474.26672820097923,474.64764541710304,3011.138290243242,19285.85230010043,890833.2336518189,124.56041497681798,304.0754860709109
0.41921,ApproachEntry,Double,479.8565,199.8562,47.79231,446.8407,446.8407,0.0,479.8565,47.79231,40.79231,0.0,0.0,0.0,1.0,6,6,1,0.80411,0.7983,0.23328,1.13808,0.67963,0.41871,0.82,0.7,0.06,0.9,0.56,0.06,-7.75476,-28.08,36.07998,-9.95418,-24.08,10.08,199.8562,446.8407,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,37.950664136622336,Task3_Insertion,0.0,47.79239376621661,119.43677208421116,130.6346651605381,68.54749701693011,446.61296913374724,446.8403377046437,2145.073286403409,34636.71842588096,366706.8833906266,97.91988069952869,904.3414218965182
0.48221,ApproachEntry,Double,460.7079,185.464,43.5289,410.8919,410.8919,0.0,460.7079,43.5289,36.5289,0.0,0.0,0.0,1.0,6,6,1,0.78719,0.76734,0.22966,1.11638,0.62143,0.40386,0.82,0.7,0.06,0.9,0.56,0.06,-8.00074,-31.44,39.43997,-13.31418,-27.44,13.44,185.464,410.8919,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,15.873015873015873,Task3_Insertion,0.0,43.529479378566265,111.05400448072879,119.57823537242969,62.14454262687352,407.32746641794427,410.8937197135045,1606.2097871809556,18278.77668923217,324076.09687847627,75.47480047451936,595.3285180240571
0.51632,ApproachEntry,Double,442.2351,165.7711,39.07745,372.895,372.895,0.0,442.2351,39.07745,32.07745,0.0,0.0,0.0,1.0,6,6,1,0.77555,0.73752,0.21523,1.09853,0.56444,0.37562,0.82,0.7,0.06,0.9,0.56,0.06,-7.62505,-34.79999,42.79995,-16.67418,-30.8,16.8,165.7711,372.895,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,29.316915860451502,Task3_Insertion,0.0,39.076798836359956,101.64273873001258,107.85318810772158,54.64601231534749,360.68334262149585,372.89389764382037,2417.7122227621826,23478.90802534817,187394.87704365898,110.71991912748587,972.2416422763604
0.54085,ApproachEntry,Double,427.4422,145.3889,34.55976,337.138,337.138,0.0,427.4422,34.55976,27.55976,0.0,0.0,0.0,1.0,6,6,1,0.76589,0.70904,0.19464,1.0804,0.50935,0.34027,0.82,0.7,0.06,0.9,0.56,0.06,-6.88504,-38.15998,46.15994,-20.03418,-34.15999,20.16,145.3889,337.138,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,40.76640847941288,Task3_Insertion,0.0,34.55839987444953,91.46566106842624,95.78873178112572,46.40876884742985,309.58674138028186,337.1362564305418,2941.2615681658936,16058.152809739076,428028.4793223346,133.01416270029569,617.966829033527
0.56299,ApproachEntry,Double,418.1954,128.5132,30.05826,307.2209,307.2209,0.0,418.1954,30.05826,23.05826,0.0,0.0,0.0,1.0,6,6,1,0.7565,0.68209,0.17028,1.06003,0.45679,0.30109,0.82,0.7,0.06,0.9,0.56,0.06,-5.91249,-41.51996,49.51992,-23.39418,-37.51998,23.52,128.5132,307.2209,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,45.16711833785017,Task3_Insertion,0.0,30.058357173877273,80.76476489140856,83.62525935825104,37.84198459609159,256.558811473345,307.2235230251747,3098.3843092283496,10639.34895321469,399588.3380620539,140.10054600510728,286.80387894578973
0.58506,ApproachEntry,Double,415.4357,119.5289,25.64318,286.3551,286.3551,0.0,415.4357,25.64318,18.64318,0.0,0.0,0.0,1.0,6,6,1,0.74636,0.65686,0.14368,1.03645,0.4073,0.26016,0.82,0.7,0.06,0.9,0.56,0.06,-4.79047,-44.87995,52.87991,-26.75418,-40.87996,26.88,119.5289,286.3551,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,45.310376076121365,Task3_Insertion,0.0,25.642829944091996,69.78041602535768,71.56477785713182,29.515102837451504,204.6662794554927,286.35627826188835,3157.7625647656937,10283.046821943808,320274.01157317293,144.49854730129493,78.67143692974034
0.60601,ApproachEntry,Double,419.2809,121.7813,21.38915,276.9506,276.9506,0.0,419.2809,21.38915,14.38915,0.0,0.0,0.0,1.0,6,6,1,0.73476,0.63349,0.11604,1.00918,0.36134,0.2191,0.82,0.7,0.06,0.9,0.56,0.06,-3.58492,-48.23993,56.23989,-30.11418,-44.23995,30.24,121.7813,276.9506,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,47.732696897374645,Task3_Insertion,0.0,21.388901548694587,58.805532012300276,59.84499321447679,22.307046210057614,159.1446170770956,276.9456228215207,3042.657150404783,12775.188156578717,209054.41591591216,141.91004919620482,165.72710346018673
0.62905,ApproachEntry,Double,429.1474,135.2415,17.3914,279.7642,279.7642,0.0,429.1474,17.3914,10.3914,0.0,0.0,0.0,1.0,6,6,1,0.7212,0.61211,0.08837,0.97806,0.31925,0.17922,0.82,0.7,0.06,0.9,0.56,0.06,-2.35286,-51.59992,59.59988,-33.47417,-47.59993,33.6,135.2415,279.7642,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,43.40277777777787,Task3_Insertion,0.0,17.391149373561426,48.19511013922004,48.7555272965035,17.624437349415274,129.9355131416528,279.7629970171181,2855.4143249696026,13598.002136349494,337277.09844520484,137.1044103227219,213.84735613290007
0.65136,ApproachEntry,Double,443.9966,156.9562,13.79746,293.5916,293.5916,0.0,443.9966,13.79746,6.79746,0.0,0.0,0.0,1.0,6,6,1,0.70534,0.59283,0.0616,0.94314,0.28131,0.14163,0.82,0.7,0.06,0.9,0.56,0.06,-1.14946,-54.9599,62.95987,-36.83416,-50.95992,36.95998,156.9562,293.5916,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,44.82294935006713,Task3_Insertion,0.0,13.796857452166936,38.45377561769097,38.734186486044294,16.987494170439312,129.71780180898028,293.5858181179739,2674.884279287576,22955.47477804522,1028988.7160156531,132.25695376219193,412.3201161687581
0.67628,ApproachEntry,Double,462.6052,183.5451,10.8625,315.9025,315.9025,0.0,462.6052,10.8625,3.86251,0.0,0.0,0.0,1.0,6,6,1,0.68702,0.57571,0.03643,0.90472,0.24766,0.10709,0.82,0.7,0.06,0.9,0.56,0.06,-0.0201,-58.31989,66.31985,-40.19414,-54.3199,40.31997,183.5451,315.9025,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,40.12841091492786,Task3_Insertion,0.0,10.862417069049199,30.38685755247721,30.523892832417673,19.97666421131732,158.04428633966958,315.9050840046738,1881.888487974057,59574.5180821576,974230.4034178994,119.84479571145602,1134.1250824538163
0.70108,ApproachEntry,Double,462.4884,193.2046,9.69641,319.607,319.607,0.0,462.4884,9.69641,2.69641,0.0,0.0,0.0,1.0,6,6,1,0.67495,0.57928,0.01857,0.8795,0.24205,0.08516,0.82,0.7,0.06,0.9,0.56,0.06,0.95317,-60.25644,69.67984,-43.55413,-57.67989,43.67995,193.2046,319.607,0.0,0.0,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,40.32258064516122,Task3_Insertion,0.0,9.6977087330015,27.161740065066986,27.259297069583667,22.5476430746804,177.34020993993033,319.6020621022337,984.5388631949317,69743.23177938395,610525.4642943691,104.75088560700446,1369.2183182740168
