time,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
59.81937,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,37.105751391466555,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7901808365247238e-12,3.6722354090461757e-11,2.3364180698563137e-09,0.0,3.3052629306551326e-12
59.83946,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,49.776007964153166,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,2.220446049250313e-13,4.628294534134158e-11,2.262313535402172e-09,1.0379154359435136e-13,2.0812864409366203e-12
59.86127,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,45.85052728107424,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,0.0,6.725096989058254e-11,1.8537679260580881e-09,9.283624477096554e-14,5.605693989369988e-12
59.88607,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.322580645162844,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.552713678800501e-12,3.719026452439522e-11,2.8978610582079623e-09,2.320622857404618e-13,4.3338074534020576e-12
59.91042,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,41.06776180697237,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7901808365247238e-12,7.520644300513753e-11,2.122805856005721e-09,1.3127425272378462e-13,7.055397516781235e-12
59.9359,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.24646781790468,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,4.440892098500626e-13,7.041180499492678e-11,3.503016186870194e-10,1.673487793498543e-13,5.86087731355608e-12
59.96099,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.85651654044511,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7763568394002505e-12,7.143403713844348e-11,2.8344251215894436e-09,2.2737367544323206e-13,1.846171636574277e-12
59.98606,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.88831272437258,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.552713678800501e-12,7.17874006209039e-11,4.377336573730718e-09,1.3924492535023378e-13,5.84492740994633e-12
60.01063,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.70004070004551,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7901808365247238e-12,1.4480260076310046e-10,2.2194777277556306e-09,1.3127425272378462e-13,3.4067263061038714e-12
60.03513,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,40.81632653060675,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.552713678800501e-12,3.7773790644019696e-11,4.30671184382502e-09,9.282491429618472e-14,4.489669951664968e-12
60.06068,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.13894324853915,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,0.0,6.780996278657704e-11,2.601527213820691e-09,1.8564982859236944e-13,2.6643762822987807e-12
60.085,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,41.118421052626495,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,0.0,1.0418696059544185e-10,3.126670561457787e-09,9.283624477096554e-14,9.477011143459613e-12
60.10565,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,48.426150121074095,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.978256139440565e-12,1.0267744446929782e-10,2.085439611326772e-09,3.9655086011922456e-13,9.22536452382094e-12
60.12929,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,42.30118443316354,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.972054645195637e-12,9.28164791093163e-12,4.118131433159775e-09,2.9718826852442287e-13,6.994747979705284e-12
60.15351,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,41.28819157720945,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,3.978256139440565e-12,9.6782650261373e-11,1.491894558852939e-09,9.282491429618472e-14,4.248566752553064e-12
60.17887,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.43217665614168,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7763568394002505e-12,6.935082169701701e-11,2.5946330378026874e-09,2.1268859807002749e-13,2.680391903902796e-12
60.20311,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,41.254125412543075,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,1.7901808365247238e-12,4.025140806087478e-11,2.079620346788369e-09,1.6078400968803678e-13,4.307893077768031e-12
60.22834,Done,Double,161.0948,1.04043,0.20653,1.58284,1.58284,1.0,1.58284,0.20558,0.0,0.0,0.0,0.59701,1.0,6,6,1,0.70187,0.90766,0.05991,0.90025,0.56033,0.05847,0.82,0.7,0.06,0.9,0.56,0.06,1.04585,-31.36576,58.68774,-92.89253,-88.86663,105.8376,double_rcm_log_20260616_105213_166.csv,39.635354736424055,Unknown,Task3_Insertion,0.0,0.20660163220823397,0.5814292133278756,0.5814301583235394,0.5607917791518126,1.5766732259851468,1.5850236591293951,0.0,7.185934907616152e-11,7.466811380774443e-10,4.641245714809236e-14,5.0487090292482535e-12
