time,mode,phase,solveIK,lambda,lambda0,insertion_progress,tip_entry_error_mm,tip_target_error_mm,rcm_error_mm,weighted_error,skull_violation_mm,arm_skull_violation_mm,entry_axis_error_deg,entry_cone_violation_deg,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,entry_rcm_error_mm,target_rcm_or_tip_error_mm,stage,valid_post_insertion_context,raw_needle_skull_penetration_mm,intentional_needle_inside_skull,unsafe_needle_skull_violation_mm,source_file,fps_est,task_inferred,total_skull_violation_mm,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
1.5141,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.39,146.455,130.409,0.395143,0.0,0.0,13.673,0.0,-0.056,-9.453,52.806,-0.615,-110.0,0.614,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.449897750511177,Task3_Insertion,0.0,7.872782828979946,4.551799169565355
1.5629,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.233,148.038,132.411,0.394239,0.0,0.0,13.659,0.0,-0.067,-8.905,52.028,-0.59,-110.0,0.671,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.491803278688543,Task3_Insertion,0.0,7.7995335551024105,3.9111256630738325
1.6151,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,67.956,149.403,134.166,0.392655,0.0,0.0,13.674,0.0,-0.077,-8.358,51.225,-0.57,-110.0,0.716,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.157088122605355,Task3_Insertion,0.0,8.039728742184174,12.98111109461279
1.6628999999999998,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,67.553,150.562,135.691,0.390347,0.0,0.0,13.712,0.0,-0.085,-7.815,50.401,-0.554,-110.0,0.751,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.920502092050278,Task3_Insertion,0.0,8.989401950526924,12.920341414142538
1.7059,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,67.02,151.531,137.004,0.387293,0.0,0.0,13.771,0.0,-0.093,-7.276,49.56,-0.54,-110.0,0.779,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,23.255813953488293,Task3_Insertion,0.0,9.251557373380312,4.755234239135751
1.7514999999999998,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,66.357,152.327,138.123,0.383501,0.0,0.0,13.85,0.0,-0.099,-6.743,48.708,-0.529,-110.0,0.802,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,21.929824561403574,Task3_Insertion,0.0,9.330867870004218,3.848417539884932
1.7942,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,65.568,152.965,139.064,0.378991,0.0,0.0,13.946,0.0,-0.105,-6.217,47.848,-0.519,-110.0,0.82,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,23.4192037470725,Task3_Insertion,0.0,9.513331929024435,2.363353963459076
1.838,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,64.66,153.463,139.843,0.373802,0.0,0.0,14.057,0.0,-0.111,-5.699,46.985,-0.511,-110.0,0.835,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,22.83105022831047,Task3_Insertion,0.0,9.207448352999421,5.01448409580948
1.8833,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,63.641,153.839,140.477,0.367977,0.0,0.0,14.183,0.0,-0.117,-5.191,46.122,-0.504,-110.0,0.848,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,22.07505518763802,Task3_Insertion,0.0,9.10376250230805,2.2741811259559572
1.9275,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,62.52,154.108,140.979,0.361574,0.0,0.0,14.321,0.0,-0.122,-4.693,45.262,-0.497,-110.0,0.858,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,22.624434389140262,Task3_Insertion,0.0,9.056581279294493,1.9123168885406687
1.9724,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,61.307,154.287,141.365,0.354649,0.0,0.0,14.471,0.0,-0.126,-4.206,44.409,-0.491,-110.0,0.868,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,22.27171492204903,Task3_Insertion,0.0,8.980105987180602,4.570084521786145
2.0162,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,60.014,154.389,141.647,0.347265,0.0,0.0,14.63,0.0,-0.131,-3.731,43.565,-0.485,-110.0,0.876,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,22.83105022831047,Task3_Insertion,0.0,8.67069683434657,10.979428372958141
2.0631,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,58.65,154.428,141.84,0.339485,0.0,0.0,14.798,0.0,-0.136,-3.268,42.733,-0.48,-110.0,0.883,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,21.32196162046911,Task3_Insertion,0.0,7.963098988588747,11.427061993045406
2.1131,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,57.228,154.418,141.954,0.331375,0.0,0.0,14.973,0.0,-0.14,-2.818,41.916,-0.475,-110.0,0.89,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.999999999999893,Task3_Insertion,0.0,7.589627666995991,6.965502969717777
2.1624,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,55.758,154.369,142.001,0.322994,0.0,0.0,15.153,0.0,-0.144,-2.381,41.114,-0.47,-110.0,0.896,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.28397565922934,Task3_Insertion,0.0,7.273961991353909,6.057261515352953
2.2146,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,54.25,154.291,141.991,0.314404,0.0,0.0,15.338,0.0,-0.148,-1.958,40.33,-0.466,-110.0,0.902,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.157088122605355,Task3_Insertion,0.0,6.979914238967524,6.456453538477384
2.2652,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,52.714,154.193,141.934,0.305662,0.0,0.0,15.527,0.0,-0.152,-1.549,39.566,-0.462,-110.0,0.908,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.762845849802293,Task3_Insertion,0.0,6.6143281610347895,8.842869101751363
2.3207,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,51.16,154.084,141.839,0.296823,0.0,0.0,15.717,0.0,-0.156,-1.153,38.822,-0.457,-110.0,0.914,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,18.018018018018058,Task3_Insertion,0.0,6.025827746676056,6.6561012078260084
2.3778,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,49.596,153.969,141.713,0.287934,0.0,0.0,15.908,0.0,-0.16,-0.771,38.099,-0.453,-110.0,0.919,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,17.513134851138307,Task3_Insertion,0.0,5.878582687924332,0.6925243447040891
2.4325,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,48.03,153.855,141.563,0.279046,0.0,0.0,16.1,0.0,-0.164,-0.403,37.398,-0.45,-110.0,0.924,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,18.281535648994524,Task3_Insertion,0.0,5.946511490007654,0.2522006441669738
2.4847,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,46.47,153.746,141.395,0.270197,0.0,0.0,16.29,0.0,-0.168,-0.049,36.72,-0.446,-110.0,0.93,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.157088122605355,Task3_Insertion,0.0,5.887756144134707,2.417982807461082
2.5368,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,44.921,153.645,141.215,0.261423,0.0,0.0,16.479,0.0,-0.171,0.292,36.064,-0.443,-110.0,0.935,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.193857965451123,Task3_Insertion,0.0,5.6954284658644685,4.9560768112626095
2.5888,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,43.39,153.555,141.026,0.25276,0.0,0.0,16.665,0.0,-0.175,0.62,35.431,-0.439,-110.0,0.94,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.230769230769212,Task3_Insertion,0.0,5.372328966102293,4.231310927078853
2.6433,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,41.881,153.479,140.835,0.244233,0.0,0.0,16.849,0.0,-0.179,0.935,34.822,-0.436,-110.0,0.946,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,18.348623853211013,Task3_Insertion,0.0,5.255368345163197,9.697034324932014
2.6935,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,40.399,153.418,140.642,0.235868,0.0,0.0,17.029,0.0,-0.182,1.236,34.235,-0.433,-110.0,0.951,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.92031872509968,Task3_Insertion,0.0,4.419592055760569,14.343532014724763
