time,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,raw_needle_skull_penetration_mm,unsafe_needle_skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
27.9839,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.695077149155141,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,0.0,6.46798657761883e-12,1.51266847974062e-10,2.9007785717557725e-15,3.9938807918682115e-13
28.05065,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.981273408239133,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,8.881784197001252e-13,1.430427426202984e-11,4.655997625627659e-11,6.563712636189231e-14,3.787857036985673e-13
28.11855,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.727540500736795,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,1.9868029630580077e-12,1.0344615271104133e-12,2.507730562831337e-10,5.317214951750687e-14,3.8963753514553286e-13
28.18807,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.384349827387659,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,8.899114524108742e-13,2.0430544793045707e-11,5.0087260358752607e-11,5.3251215954515665e-14,1.0742441005685788e-12
28.25908,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.082523588226787,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,8.899114524108742e-13,6.355565501025512e-12,2.464242869858997e-10,1.1832901233595593e-13,3.187046555115788e-13
28.32933,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.234875444840277,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,1.2573000033218179e-12,1.4487926918413425e-11,1.2183974051195055e-10,7.057898881987199e-14,1.0831518885589668e-12
28.39873,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.409221902016942,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,1.2573000033218179e-12,1.1563835411059061e-11,1.6788979196042405e-10,5.3251215954515665e-14,5.354750336158546e-13
28.46821,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.392630972942133,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,4.440892098500626e-13,9.06356081315359e-12,5.2635853726086174e-11,2.3251509063100976e-14,4.375582244958614e-13
28.54259,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,13.444474321053786,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,0.0,7.885339381330239e-12,9.052014139726203e-11,1.160311428702309e-14,3.994821434090498e-13
28.61069,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.684287812040866,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,1.2573000033218179e-12,6.503294577845893e-12,1.0426377366019045e-10,4.7840865791509556e-14,3.563435567384702e-13
28.67813,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.827995255042019,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,8.899114524108742e-13,6.6717394447156775e-12,1.5464239982334052e-10,4.650301812620195e-14,3.5321091500730145e-13
28.74499,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.956625785222425,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,8.899114524108742e-13,1.481898727202961e-11,7.076134292648929e-11,0.0,7.21099381312408e-13
28.81201,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.920919128618454,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,1.25607396694702e-12,6.658896804072479e-12,2.2005284954822045e-10,5.3251215954515665e-14,3.569853403344547e-13
28.87911,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.903129657228032,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,0.0,1.470489378012011e-11,7.303288368421304e-11,4.792872787800221e-14,6.118462529961411e-13
28.9477,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.579384749963472,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,8.881784197001252e-13,6.4622528120375784e-12,1.9527892243470526e-10,6.563712636189231e-14,5.349822103824775e-13
29.01603,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.63486023708483,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,8.881784197001252e-13,1.2750985854065758e-11,1.4910633412602255e-10,5.317214951750687e-14,6.098099810003916e-13
29.08524,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.448779078168267,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,8.881784197001252e-13,1.4336539973196927e-11,1.9500186422010063e-10,5.317214951750687e-14,6.911579456851258e-13
29.15357,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.63486023708483,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,1.2573000033218179e-12,1.4401640431823926e-11,2.0092037090430012e-10,7.057898881987199e-14,8.441135046039217e-13
29.22224,ApproachEntry,Double,115.6567,294.5786,7.85361,56.60511,56.60511,0.0,115.6567,7.85361,0.85361,68.93009,68.93009,68.93009,0.0,0.0,1.0,6,6,1,0.72376,0.9722,0.0015,0.89856,0.61571,0.05005,0.82,0.7,0.06,0.9,0.56,0.06,4.88098,-30.09376,61.57118,-109.343,-77.96309,113.0087,double_rcm_log_20260616_113317_743.csv,14.56239988350061,Unknown,Task3_Insertion,68.93009,7.8532900965125005,22.032053581816534,22.083894622014547,14.114527987031703,28.203104057205096,56.60989489479725,1.2573000033218179e-12,1.4481491992041196e-11,1.6924069940464166e-10,7.057898881987199e-14,6.100188604617231e-13
